,Номер,Контрагент,Подразделение,Описание,Часы,Оценка,Комментарии
0,БПФР-013882,КЕЖУЙ НЕФТЕГАЗОВЫЕ УСЛУГИ ООО,Отдел автоматизации ЗУП,"Инициатор: Шамамедов Бяшим Шаджанович 
Руководитель Службы охраны труда, промышленной безопасности и охраны окружающей среды
 тел. 8-9-222-600-104

Настройка ПП 1С: Производственная безопасность. Охрана труда",99.0,1,"Замечания по заданию:

1. **Ясность информации**: В описании задачи отсутствует конкретика о том, что именно нужно сделать. Необходимо уточнить, какие настройки требуется произвести, и какой результат ожидается.
   
2. **Четкость сроков**: Указано общее количество часов (99), но нет указаний на то, сколько времени выделяется на каждую задачу или этап работы. Это может привести к задержке выполнения.

3. **Документация и ресурсы**: Если задача связана с настройкой программного обеспечения, важно указать ссылки на документацию или инструкции, которые сотрудник должен использовать.

4. **Конкретизация ответственности**: Следует более четко определить ответственность сотрудника за выполнение каждой части задачи.

5. **Коммуникация**: Желательно добавить контактные данные инициатора или руководителя проекта для оперативной связи.

Пожалуйста, уточните детали задания для более эффективного его выполнения."
1,БПФР-014554,РЕГИОНАЛЬНАЯ УПРАВЛЯЮЩАЯ КОМПАНИЯ ООО,Отдел автоматизации ПУ и ОУ,"Обновление информационных баз нетиповой конфигурации 1C:Айлант (две информационных базы) с промежуточными релизами 3.1.161.22 - 3.1.163.26 - 3.1.164.16 - 3.1.166.17 - 3.1.168.19. Проверка результатов обновления. Перенос обновлений на рабочие базы, проверка результатов переноса.",12.0,10,"Задание недостаточно детализировано. Необходимо указать конкретные шаги выполнения работы, такие как:
- какие процедуры будут выполнены перед обновлением;
- как будет проводиться проверка результатов обновления;
- каким образом будет осуществляться перенос обновлений на рабочие базы;
- кто будет отвечать за проверку результатов переноса."
2,БПФР-014539,КЕЖУЙ НЕФТЕГАЗОВЫЕ УСЛУГИ ООО,Отдел автоматизации ЗУП,"Тикет №КЖ000000119
Инициатор: Калачева Галина Юрьевна
Резерв на отпуска в налоговом учете.

Необходимо:
1. Проверить % исчисления резерва
2. Проверить предел суммы резерва 
3. Проверка корректности расчета резерва в программе",3.0,8,"Замечания по заданию:

1. **Описание задачи**:
   - Описание должно быть более конкретным и детализированным, чтобы было понятно, что именно нужно проверить и как это связано с резервом на отпуска. Например, указать, какие формулы или данные необходимо перепроверить.
   
2. **Количество часов**:
   - Количество часов (3 часа) кажется недостаточным для выполнения такой задачи. Возможно, стоит уточнить объем работы или выделить дополнительные часы.

Рекомендации:
- Переформулировать задачу так, чтобы она была ясной и понятной: «Проверить правильность расчета резерва на отпуска в налоговом учете, включая проверку формул, данных и алгоритмов программы».
- Рассмотреть возможность увеличения количества часов до приемлемого уровня для выполнения всей задачи."
3,БПФР-014670,БСТ ООО,Отдел автоматизации БУ и УУ,"Работа с пользователями Шахты ""Большевик"", Шахты ""Антоновская"", ПВВ",31.25,1,"Задание требует уточнения: необходимо более подробно описать задачу по работе с пользователями шахт ""Большевик"", ""Антоновская"" и ПВВ. Например, какие конкретные действия должны быть выполнены (настройка, доработка, обучение и т.д.), кто является инициатором, какие результаты ожидаются. Также важно уточнить, нужно ли учитывать специфику работы с данными шахтами в контексте бухгалтерского или управленческого учета."
4,БПФР-014697,ДИО-КОНСАЛТ ООО,Отдел автоматизации ПУ и ОУ,,77.5,1,"Задание недостаточно детализировано. Необходимо указать конкретные шаги или действия, которые должны быть выполнены, а также добавить информацию о том, что именно нужно проверить или какие результаты ожидаются. Например: 

**Задание:**

Проверить настройки резервов по отпускам в учетной системе ДИО-КОНСАЛТ ООО согласно законодательству РФ. 

**Детализация:**

1. **Проверка расчетов:**
   - Проверить расчет среднего заработка сотрудников для формирования резерва.
   - Проверить правильность учета премий и надбавок при расчете среднего заработка.

2. **Пределы и лимиты:**
   - Проверить соблюдение ограничений по сумме резерва, установленных Налоговым кодексом РФ.
   - Убедиться, что резервы не превышают максимально допустимые пределы.

3. **Корректность настроек:**
   - Проверить, что система автоматически учитывает все необходимые корректировки (например, по налогообложению).
   - Убедиться, что программа правильно рассчитывает сумму резерва и отражает ее в бухгалтерском учете.

4. **Документирование:**
   - Подготовить отчет с результатами проверки, включая найденные ошибки или несоответствия.

Такая детализация поможет сотрудникам лучше понять задачу и избежать возможных ошибок."
5,БПФР-014717,БСТ ООО,Отдел автоматизации БУ и УУ,"Метрополитен
",100.0,1,"Задание требует уточнения и детализации. Необходимо указать конкретные задачи, которые нужно выполнить, а также критерии оценки их выполнения. Например: 

**Контрагент:** БСТ ООО  
**Подразделение:** Отдел автоматизации БУ и УУ  
**Описание:** Обновить справочник поставщиков в системе согласно последним данным.  
**Время:** 5 часов  

Если это невозможно, то необходимо разделить общее время на более мелкие этапы с конкретными задачами."
6,БПФР-014837,ДИО-КОНСАЛТ ООО,Отдел автоматизации БУ и УУ,,35.0,1,"Задание недостаточно детализировано. Необходимо уточнить, что именно нужно сделать, например:

**Контрагент: ДИО-КОНСАЛТ ООО**  
**Подразделение: Отдел автоматизации БУ и УУ**  
**Описание:** Провести аудит системы учета дебиторской задолженности по данному контрагенту за последние 3 года. Подготовка отчета с анализом ошибок и предложений по их устранению.  
**Количество часов:** 35"
7,БПФР-014590,КЕЖУЙ НЕФТЕГАЗОВЫЕ УСЛУГИ ООО,Отдел автоматизации ЗУП,"Тикет №КЖ000000125
Инициатор: Титаренко Виктория Сергеевна
6НДФЛ",2.5,8,"Задание требует уточнения. Необходимо конкретизировать, что именно нужно сделать с формой 6-НДФЛ: проверить правильность заполнения, расчетов, сопоставить данные с другими отчетами и т.д. Также важно указать, за какой период нужно работать с этой формой."
8,БПФР-014668,АВТО ТЮНИНГ ООО,Отдел автоматизации ЗУП,"Инициатор: Вера 8-950-481-27-23
Задание: Консультация по страховым взносам",0.25,1,"Задание недостаточно детализировано. Необходимо уточнить, что именно требуется по консультации по страховым взносам. Например: 

**Консультация по вопросам расчёта и уплаты страховых взносов в соответствии с новыми требованиями законодательства.**

0.25 часа — это очень мало для такой задачи, рекомендуется увеличить время до адекватного уровня."
9,БПФР-014661,ИНЖЕНЕРНО-ТЕХНОЛОГИЧЕСКИЙ СЕРВИС ООО,Отдел автоматизации ЗУП,"Инициатор: ИТС
Задача: Проект",125.0,1,"Задание сотруднику неполное и требует уточнения. Необходимо указать более конкретную информацию о проекте и его задачах, чтобы можно было оценить объем работы и ее сложность. Пример правильного заполнения:

**Название контрагента:** ИНЖЕНЕРНО-ТЕХНОЛОГИЧЕСКИЙ СЕРВИС ООО  
**Подразделение:** Отдел автоматизации ЗУП  
**Инициатор:** ИТС  
**Проект:** Разработка нового модуля для системы управления персоналом  
**Количество часов:** 125  
**Описание проекта:**  
Разработать новый модуль для учета рабочего времени сотрудников с интеграцией в существующую систему. Включает анализ текущих процессов, проектирование архитектуры, программирование, тестирование и документирование.  
**Этапы выполнения:**  
1. Анализ требований – 10 часов  
2. Проектирование архитектуры – 15 часов  
3. Программирование – 60 часов  
4. Тестирование – 20 часов  
5. Документирование – 20 часов  

Такое задание позволит сотруднику правильно спланировать свою работу и достичь поставленных целей."
