,Номер,Контрагент,Подразделение,Описание,Часы,Оценка,Комментарии
0,БПФР-013882,КЕЖУЙ НЕФТЕГАЗОВЫЕ УСЛУГИ ООО,Отдел автоматизации ЗУП,"Инициатор: Шамамедов Бяшим Шаджанович 
Руководитель Службы охраны труда, промышленной безопасности и охраны окружающей среды
 тел. 8-9-222-600-104

Настройка ПП 1С: Производственная безопасность. Охрана труда",99.0,9,"Замечания:

1. **Детализация задач**: Некоторые пункты требуют более детального описания содержания работы, чтобы было понятно, что именно требуется сделать. Например, разработка макета печатной формы и механизма заполнения требует уточнения.
   
2. **Согласование с заказчиком**: Необходимо добавить время на согласование промежуточных результатов и итоговой работы с заказчиком.

3. **Общее количество часов**: Сумма всех указанных часов превышает общее количество часов (99), это требует проверки.

4. **Нумерация задач**: Последовательная нумерация задач помогает лучше ориентироваться в плане выполнения задания.

5. **Дополнительные комментарии**: Возможно, стоит включить дополнительные комментарии или пояснения для лучшего понимания объема и сложности задач."
1,БПФР-014539,КЕЖУЙ НЕФТЕГАЗОВЫЕ УСЛУГИ ООО,Отдел автоматизации ЗУП,"Тикет №КЖ000000119
Инициатор: Калачева Галина Юрьевна
Резерв на отпуска в налоговом учете.

Необходимо:
1. Проверить % исчисления резерва
2. Проверить предел суммы резерва 
3. Проверка корректности расчета резерва в программе",3.0,8,"Замечания к заданию:

1. **Недостаточно информации о задаче**: В описании работы указано только общее направление (""проверка корректности расчета резерва""), но нет конкретных шагов или критериев выполнения. Это может привести к неопределенности и разночтениям.
   
2. **Нет четких сроков выполнения**: Хотя указано количество часов, нет конкретного срока сдачи работы.

3. **Неопределенная ответственность**: Не указано, кто должен выполнять проверку – это может привести к путанице и задержкам.

4. **Мало информации о тикете**: Нет связи с общей системой учета заявок или задач, что затрудняет отслеживание хода выполнения.

Рекомендации:
- Добавить детализированное описание проверки резерва (шаги, критерии).
- Указать сроки выполнения и ответственного исполнителя.
- Привязать задачу к системе управления задачами для лучшего контроля и отчетности."
2,БПФР-014670,БСТ ООО,Отдел автоматизации БУ и УУ,"Работа с пользователями Шахты ""Большевик"", Шахты ""Антоновская"", ПВВ",31.25,1,"Задание требует уточнения. Необходимо более четко определить, какие именно работы должны быть выполнены с пользователями шахт ""Большевик"", ""Антоновская"" и ПВВ, и сколько времени потребуется на каждую задачу. Например: 

- Настроить учетные записи пользователей для шахты ""Большевик"".
- Обновить данные пользователей шахты ""Антоновская"".
- Проконсультировать сотрудников ПВВ по работе с новой системой.

Количество часов должно быть распределено между этими задачами, чтобы работа была выполнена эффективно."
3,БПФР-014717,БСТ ООО,Отдел автоматизации БУ и УУ,"Метрополитен
",100.0,1,"Задание сотруднику содержит недостаточно информации о том, что именно нужно сделать в рамках проекта Московского Метрополитена. Необходимо уточнить детали работы, например: какие конкретно процессы автоматизации нужно выполнить, с какими системами работать, какие данные анализировать и т.д. Также важно указать ожидаемые результаты и критерии их оценки."
4,БПФР-014590,КЕЖУЙ НЕФТЕГАЗОВЫЕ УСЛУГИ ООО,Отдел автоматизации ЗУП,"Тикет №КЖ000000125
Инициатор: Титаренко Виктория Сергеевна
6НДФЛ",2.5,8,"Задание требует уточнения. В разделе ""Описание задачи"" укажите конкретные шаги или действия, которые необходимо выполнить. Например: ""Проверить правильность заполнения формы 6-НДФЛ за первый квартал""."
5,БПФР-014668,АВТО ТЮНИНГ ООО,Отдел автоматизации ЗУП,"Инициатор: Вера 8-950-481-27-23
Задание: Консультация по страховым взносам",0.25,1,"Задание сотруднику недостаточно детализировано. Необходимо уточнить следующие моменты:

1. **Какую конкретно тему консультации по страховым взносам требуется рассмотреть?** Например, порядок начисления, расчет базы, ставки, льготы и т.д.
2. **Цель консультации**: например, уточнение правил расчета страховых взносов, проверка правильности настроек в системе 1С и т.п.
3. **Временные рамки**: указать сроки выполнения задачи, если они есть.

Например:

**Задание:**

Консультация по расчету страховых взносов в части пенсионного фонда (ПФР).
---

**Пояснения:**

- Сотрудник должен разобраться с правилами расчета страховых взносов на пенсионное страхование.
- Цель – подтвердить правильность настроек в 1С и убедиться, что все необходимые данные учтены корректно.
- Время на выполнение: 0.25 часа.

Такое уточнение поможет более точно выполнить задачу и получить нужный результат."
6,БПФР-014662,ДИО-КОНСАЛТ ООО,Отдел автоматизации БУ и УУ,"Создать документ содержащий информацию по обновлениям конфигураций ERP, Комплексная автоматизация 2, Бухгалтерия 3, Зарплата и управление персоналом 3, УТ 11, УНФ, ДО 3, Розница 3.",3.0,7,"Задание содержит недостаточно информации для выполнения. Необходимо уточнить, какие именно обновления должны быть включены в список, а также указать сроки выполнения и критерии проверки выполненной работы."
7,БПФР-014664,ДИО-КОНСАЛТ ООО,Отдел автоматизации ПУ и ОУ,Создание презентации по РПД ,1.0,1,"Задание сотруднику сформулировано недостаточно ясно. Необходимо уточнить, какие именно элементы должны быть включены в презентацию, какой формат ожидается, и какие ключевые моменты следует осветить. Например:

**Задание сотруднику:**

*Создание презентации по РПД.*
*Отдел автоматизации ПУ и ОУ.*
*Описание задачи: Создать презентацию по теме «Регламентированный процесс документооборота» для обучения сотрудников.*
*Количество часов на выполнение: 8.*
*Описание работ: Включить следующие слайды:*
- **Слайд 1:** Название и цель презентации.
- **Слайд 2:** Основные разделы регламентированного процесса документооборота.
- **Слайд 3:** Процесс согласования документов.
- **Слайд 4:** Хранение и архивирование документов.
- **Слайд 5:** Обзор основных инструментов и программного обеспечения.
- **Слайд 6:** Пример использования системы на практике.
- **Слайд 7:** Ответы на часто задаваемые вопросы.
- **Слайд 8:** Контактная информация ответственного лица."
8,БПФР-014665,ДИО-КОНСАЛТ ООО,Отдел разработки,Доработка механизма тарифных групп,30.0,10,"Задание сотруднику недостаточно детализировано. Необходимо уточнить, какие именно доработки требуются механизму тарифных групп, и указать критерии проверки выполненной работы."
9,БПФР-014666,КЕЖУЙ НЕФТЕГАЗОВЫЕ УСЛУГИ ООО,Отдел разработки,"Тикеты №КЖ000000101, КЖ000000102, КЖ000000121, КЖ000000133, КЖ000000140

1. Тикет КЖ000000101: настройка интеграции для документа ""Поступление товаров и услуг"".
2. Тикет КЖ000000102: настройка интеграции для документа ""Перемещение товаров"".
3. Тикет КЖ000000121: синхронизация номенклатуры (из 1С: Бухгалтерия в 1С: Документооборот).
4. Тикет КЖ000000133: доработки по 71 счету.
5. Тикет КЖ000000140: исправление нумерации в документах ""Заявка на оплату"", ограничение возможности редактировать номера документов вручную.",60.25,8,"Замечания к заданию:

1. **Детализация тикетов**: Для каждого тикета следует указать более конкретные задачи. Например, вместо ""настройка интеграции для документа 'Поступление товаров и услуг'"" лучше уточнить, какие именно настройки необходимы (например, настройка заполнения реквизитов, интеграция с определенными системами и т.д.).

2. **Содержание работ**: В некоторых пунктах (""тикеты №КЖ000000101, КЖ000000102, КЖ000000121"") указано только действие без уточнения деталей работы. Это может привести к недопониманию того, что конкретно требуется сделать.

3. **Количество часов**: Количество часов (60.25) явно завышено для предложенных задач. Возможно, стоит пересмотреть оценку времени или детализировать задачи еще сильнее.

4. **Организационные моменты**: Следует также уточнить сроки выполнения каждой задачи и назначить ответственного сотрудника, чтобы работа была выполнена в срок.

Рекомендации:
- Разделить общие задачи на более мелкие подзадачи.
- Привести четкое описание всех действий, которые необходимо выполнить.
- Добавить комментарий о том, как будут проверяться результаты работы над каждым тикетом."
10,БПФР-014669,МОСТОСТРОЙ-11 АО,Отдел автоматизации ПУ и ОУ,"Консультации по ведению учета в программе (февраль 2025 г). 
Помощь в закрытии периодов. Консультации по настройке НУ.
Помощь в поиске и исправлении ошибок ведения учета в программе.",30.0,8,"Задание требует уточнения: необходимо конкретизировать, какие именно консультации нужны (по каким разделам учета, налогам, отчетам), а также указать, что именно подразумевается под ошибками ведения учета и как их искать."
11,БПФР-014676,РЕГИОНАЛЬНАЯ УПРАВЛЯЮЩАЯ КОМПАНИЯ ООО,Отдел автоматизации ПУ и ОУ,Восстановление учета КУ и БУ по взаиморасчетам,32.0,8,"Задание недостаточно детализировано. Необходимо уточнить, какие конкретные действия должны быть выполнены, чтобы восстановить учет. Например: **проверка операций с контрагентами**, **корректировка проводок**, **анализ расхождений между бухгалтерским и налоговым учетом** и т.д."
12,БПФР-014678,КЕЖУЙ НЕФТЕГАЗОВЫЕ УСЛУГИ ООО,Отдел автоматизации ЗУП,"Тикет №КЖ000000132
Инициатор: Титаренко Виктория Сергеевна
Задвоение врегистрах НДФЛ по сотруднику,

Почему при начислении натурального дохода в виде подарка, нерезиденту ВКС начисляется налог 30 %, должен быть 13%.",0.25,8,"**Замечания к заданию:**

1. **Описание задачи:** Конкретизируйте проблему с задвоением регистрации в регистрах НДФЛ и уточните, какие именно действия необходимо предпринять для решения этой проблемы.
   
2. **Количество часов:** Указано недостаточное количество времени для выполнения задачи. Рекомендую уточнить объем работы и, соответственно, время, необходимое для её выполнения.

**Комментарий:**  
Для решения данной задачи может потребоваться более детальная проверка регистров НДФЛ, возможно, потребуется взаимодействие с бухгалтерией и IT-отделом. 0,25 часа явно недостаточно для такой комплексной задачи."
13,БПФР-014659,ЦЕНТР ВНЕДРЕНИЯ И СОПРОВОЖДЕНИЯ ООО,Руководство,"Обеспечить проведение разработки по заданиям Заказчика февраль 2025г.
BELVOSOPZ-135 Недостачи после перемещения
BELVOSOPZ-175 АРМ ДЗ
BELVOSLURV-1605 Отчет экономия",84.0,1,"Задание недостаточно детализировано. Необходимо указать конкретные шаги и ожидаемые результаты для каждой задачи. Например:  

**Шаг 1:** Изучение требований заказчика к разработке.
**Шаг 2:** Анализ текущей системы и бизнес-процессов.
**Шаг 3:** Разработка технического задания.
**Шаг 4:** Реализация задачи.
**Шаг 5:** Тестирование решения.
**Шаг 6:** Документирование результатов.

В противном случае сложно оценить объем и сложность работы, что может привести к недооценке трудозатрат."
14,БПФР-014680,"АНО ДПО ""ЦПП""",Отдел автоматизации ЗУП,"Инициатор: Шаламова Любовь Викторовна
Задание: Не правильно выделяется с выплат РК для расчета НДФЛ",0.5,8,"Задача недостаточно детализирована. Необходимо указать, какие именно расчеты неверны и как это влияет на расчет НДФЛ. Также стоит уточнить, какая конкретно операция вызывает проблему."
15,БПФР-014681,ПУРГАЗ АО,Отдел автоматизации БУ и УУ,"Тикет №ПЗ000000286
Инициатор: Зуйкова Марина Валерьевна
Формирование дополнительного листа книги продаж",1.0,10,"Задание содержит недостаточно информации для понимания объема работы. Необходимо уточнить детали: что именно требуется сделать (какие действия), какие данные использовать, есть ли ограничения по срокам и т.д. Например:  

**Задание:**  
1. **Наименование задачи:** Формирование дополнительного листа книги продаж.
2. **Описание задачи:** Подготовка дополнительного листа книги продаж за указанный период согласно установленным требованиям законодательства.
3. **Пояснение:** В рамках задачи необходимо сформировать отчет с указанием всех корректировок к ранее поданным данным о продажах, которые были зарегистрированы в книге продаж.
4. **Время выполнения:** 3 часа.
5. **Действия:**
   - Проверка данных по продажам за указанный период.
   - Анализ необходимости внесения корректировок.
   - Расчет корректировочных сумм.
   - Формирование дополнительного листа книги продаж.
   - Верификация отчета перед подачей.
   
Это позволит сотруднику понять объем работы и спланировать свои действия более эффективно."
16,БПФР-014682,СОГЛАСИЕ ООО,Отдел автоматизации БУ и УУ,"Разработка обработки для создания заявок на расход денежных средств по документу ""Отражение зарплаты в финансовом учете"" в конфигурации 1С:ERP Агропромышленный комплекс.",15.0,10,"Замечания:
1. В описании задачи недостаточно конкретики: не указано, какие именно действия должны быть выполнены для создания заявки на расход денежных средств.
2. Необходимо уточнить, какая функциональность должна быть реализована в обработке (например, автоматическое создание заявок на основании данных документа ""Отражение зарплаты в финансовом учете"", возможность ручного редактирования заявок и т.д.).
3. Общее количество часов (15) кажется недостаточным для выполнения такой задачи. Возможно, стоит пересмотреть оценку трудозатрат."
17,БПФР-014685,ХАУС ГРУПП ООО,Отдел автоматизации ЗУП,"Олеся 8-961-204-58-27
При загрузке ЭЛН возникает ошибка 443",0.25,10,"Задание сотруднику недостаточно детализировано. Вот пример улучшенного варианта:

**Задача:**  
Решить ошибку 443 при загрузке электронных листов нетрудоспособности (ЭЛН) в 1С ЗУП.

**Время на задачу:**  
0.25 часа

**Описание работы:**  
1. Проверить настройки интеграции с ФСС и обновить необходимые компоненты.
2. Настроить права доступа пользователей к загрузке ЭЛН.
3. Проанализировать журнал регистрации для поиска ошибок при загрузке.
4. При необходимости обратиться в техническую поддержку 1С для получения дополнительной помощи."
18,БПФР-014686,ИНЖЕНЕРНО-ТЕХНОЛОГИЧЕСКИЙ СЕРВИС ООО,Отдел автоматизации ЗУП,Проект по переходу ИТС из ЗУП 2.5 в ЗУП 3.1 (Опытная эксплуатация),66.0,8,"Задание недостаточно детализировано. В нем отсутствует информация о конкретных шагах и задачах, которые необходимо выполнить в рамках проекта. Необходимо уточнить, какие именно работы будут выполнены в ходе опытной эксплуатации, какова их последовательность и кто за что отвечает."
19,БПФР-014687,ИНЖЕНЕРНО-ТЕХНОЛОГИЧЕСКИЙ СЕРВИС ООО,Отдел автоматизации ЗУП,"Проект по переходу из ЗУП 2.5 в 3.1 ННГГФ, ИТС. 
Проверка начислений, настройка начислений, исправление ошибок, проверка плановых начислений.",93.75,8,Задание содержит недостаточно информации о содержании работы и требует уточнения количества часов.
